started_at	ended_at	duration_sec	model.name	train.dataset.name	train.dataset.task_level	train.dataset.induced	train.dataset.task_type	train.dataset.fixed_split	train.num_runs	seeds	best_epochs	test_acc_mean	test_acc_std	test_auc_mean	test_auc_std	test_macro_f1_mean	test_macro_f1_std	test_micro_f1_mean	test_micro_f1_std	train_acc_mean	train_acc_std	val_acc_mean	val_acc_std	val_auc_mean	val_auc_std	val_macro_f1_mean	val_macro_f1_std	val_micro_f1_mean	val_micro_f1_std
2026-03-27 17:14:47	2026-03-27 17:14:49	2.10	gcn	cora	node	True	classification	[0.8, 0.1, 0.1]	5	[0, 42, 100, 123, 2024]	[11, 36, 70, 20, 21]	0.830147	0.018997	0.970912	0.006038	0.818185	0.026571	0.830147	0.018997	0.874001	0.017716	0.861481	0.016480	0.975520	0.004954	0.852548	0.015849	0.861481	0.016480
2026-03-27 17:16:56	2026-03-27 17:16:58	1.81	gcn	cora	node	True	classification	[100, 0.0, 1.0]	5	[0, 42, 100, 123, 2024]	[356, 422, 339, 433, 496]	0.773108	0.008587	0.950114	0.003043	0.751934	0.007127	0.773108	0.008587	0.995313	0.002538	-1	-1	-1	-1	-1	-1	-1	-1
